asset_id,name,asset_type,latitude,longitude,elevation_m,surveyed_on,surveyor,status,condition_score,attribute_json
PL-0101,  north  FEEDER   pole ,Pole,20.2701 N,85.8402,12.4,2026-08-03,JOHN  smith,active,8,"{""height_m"": 9.5, ""material"": ""concrete""}"
PL-0102,unit 12  feeder pole,pole,20.2715,85.8410 E,,2026-08-03,Rina Das,active,7,"{""height_m"": 8.0, ""material"": ""steel""}"
PL-0103,Old Town Junction Pole,pole,20.2688,85.8371,11.0,2026-08-04,anita sahu,active,9,"{""height_m"": 10.2, ""material"": ""concrete""}"
PL-0104,  PATIA   RING  POLE  ,pole,20.3532,85.8214,14.1,2026-08-05,Rina Das,active,6,"{""height_m"": 9.0, ""material"": ""concrete""}"
PL-0105,Chandrasekharpur feeder pole,Pole,20.3298,85.8190,,2026-08-05,Bikash Mohanty,active,4,"{""height_m"": 8.5, ""material"": ""wood""}"
PL-0106,Nayapalli market pole,pole,20.2911,85.8245,13.2,2026-08-06,JOHN  smith,active,10,"{""height_m"": 11.0, ""material"": ""steel""}"
PL-0107,Saheed Nagar pole 3,pole,20.2964,85.8438,12.0,2026-08-06,Anita Sahu,proposed,8,"{""height_m"": 9.5, ""material"": ""concrete""}"
PL-0108,Vani Vihar campus pole,pole,20.3040,85.8382,,2026-08-07,Bikash Mohanty,active,3,"{""height_m"": 7.5, ""material"": ""wood""}"
PL-0109,Rasulgarh crossing pole,pole,20.2810,85.8620,15.0,2026-08-07,Rina Das,decommissioned,1,"{""height_m"": 8.0, ""material"": ""concrete""}"
PL-0110,Laxmisagar tank pole,pole,20.2655,85.8501,11.8,2026-08-08,Anita Sahu,active,5,"{""height_m"": 9.0, ""material"": ""steel""}"
PL-0111,Cuttack Road pole 14,pole,20.2782,85.8554,,2026-08-08,Bikash Mohanty,active,2,"{""height_m"": 8.2, ""material"": ""concrete""}"
PL-0112,Bomikhal flyover pole,pole,20.2759,85.8447,13.6,2026-08-09,Rina Das,active,7,"{""height_m"": 10.0, ""material"": ""steel""}"
PL-0113,Jaydev Vihar pole,pole,20.3095,85.8199,12.7,2026-08-09,anita sahu,active,9,"{""height_m"": 9.8, ""material"": ""concrete""}"
PL-0114,Khandagiri square pole,pole,20.2588,85.7854,18.4,2026-08-10,JOHN  smith,active,6,"{""height_m"": 9.2, ""material"": ""concrete""}"
PL-0115,Baramunda depot pole,pole,20.2669,85.8051,,2026-08-10,Bikash Mohanty,proposed,8,"{""height_m"": 10.5, ""material"": ""steel""}"
PL-0116,Surya Nagar pole 2,pole,20.2876,85.8312,12.1,2026-08-11,Rina Das,active,4,"{""height_m"": 8.4, ""material"": ""wood""}"
PL-0117,IRC Village pole,pole,20.3144,85.8133,13.0,2026-08-11,Anita Sahu,active,7,"{""height_m"": 9.1, ""material"": ""concrete""}"
PL-0118,Gajapati Nagar pole,pole,20.3210,85.8288,,2026-08-12,Bikash Mohanty,active,5,"{""height_m"": 8.8, ""material"": ""steel""}"
PL-0119,Delta Square pole,pole,20.2724,85.8186,12.9,2026-08-12,Rina Das,decommissioned,2,"{""height_m"": 7.8, ""material"": ""concrete""}"
PL-0120,Master Canteen pole,pole,20.2681,85.8429,11.5,2026-08-13,Anita Sahu,active,8,"{""height_m"": 9.6, ""material"": ""steel""}"
VL-0201,  unit 4  inlet  VALVE ,Valve,20.2692,85.8394,4.2,2026-08-13,Bikash Mohanty,active,7,"{""bore_mm"": 150, ""material"": ""cast_iron""}"
VL-0202,Patia ring main valve,valve,20.3511,85.8230,,2026-08-14,Rina Das,active,6,"{""bore_mm"": 200, ""material"": ""steel""}"
VL-0203,Chandrasekharpur valve 2,valve,20.3310,85.8211,5.1,2026-08-14,Anita Sahu,active,3,"{""bore_mm"": 100, ""material"": ""cast_iron""}"
VL-0204,Nayapalli isolation valve,valve,20.2924,85.8260,4.8,2026-08-15,JOHN  smith,proposed,9,"{""bore_mm"": 150, ""material"": ""steel""}"
VL-0205,Saheed Nagar valve,valve,20.2977,85.8451,,2026-08-15,Bikash Mohanty,active,8,"{""bore_mm"": 250, ""material"": ""cast_iron""}"
VL-0206,Vani Vihar valve pit,valve,20.3055,85.8396,3.9,2026-08-16,Rina Das,active,4,"{""bore_mm"": 80, ""material"": ""brass""}"
